,track_name,track_id,by,feature,album_id,album_name,album_image,release_date,album_popularity,duration,playlist
317,Grass Ain't Greener,6DaE3A1uIvDqVrVSNvUy6B,Chris Brown,,5iS6VDjeV6KuOu66t1P1bn,Grass Ain't Greener,https://i.scdn.co/image/ab67616d0000b2731e1ac81a566fc8cdfc01ec19,2016-05-05,23,201,2016
318,HOLUP!,5RraLIzcFELGf3Bip8t9Q0,BOBBY,,6LrLNdxbjjuuLolFqL3qXn,The MOBB,https://i.scdn.co/image/ab67616d0000b273e7485afe6e4a5613f4fb3b51,2016-09-07,0,211,2016
319,The Mighty Fall,49nmsafpkJp2lDj9b4jkxh,Fall Out Boy,['Big Sean'],0EVJX4RlYKuApsAN5CaDa3,Save Rock And Roll,https://i.scdn.co/image/ab67616d0000b27360c84f44c080824ce336e1a1,2013-01-01,50,212,2016
320,21st Century Girl,3ROFgxvjni5xjdOLUSTLlq,BTS,,6CqQEpTYDf64ku45E3ry7d,WINGS,https://i.scdn.co/image/ab67616d0000b273a3c35732f506de61f1de7dcc,2016-10-10,0,192,2016
321,Come As You Are,4P5KoWXOxwuobLmHXLMobV,Nirvana,,2guirTSEqLizK7j9i1MTTZ,Nevermind (Remastered),https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf,1991-09-26,73,218,2016
322,Everlong,5UWwZ5lm5PKu6eKsHAGxOk,Foo Fighters,,30ly6F6Xl0TKmyBCU50Khv,The Colour And The Shape,https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b,1997-05-20,78,250,2016
323,Monster,6lM6yIDZ7kxFsgQCCfaLE2,EXO,,5dB931yywXZg4VdZYeFRaD,EX'ACT - The 3rd Album,https://i.scdn.co/image/ab67616d0000b273d0b46a7715244d28bb3edffa,2016-06-09,0,221,2016
324,Love Light In Flight,5TKz8J4Noz4nZSFIOpHpMm,Stevie Wonder,,1AAuMu5oxFp50SARjalkEO,Selections From The Original Soundtrack The Woman In Red,https://i.scdn.co/image/ab67616d0000b2732f5c212a389539c3527d9847,1984-08-28,35,414,2016
325,Blue,1YSMZs4m2yNeePmmTDruOz,BIGBANG,,4cyxOniUn2JLr9AXjSgCw1,ALIVE,https://i.scdn.co/image/ab67616d0000b27398004cc50b1404276eec8cae,2013-11-06,0,233,2016
326,All Day,79reBHqpRoWXaQbjBBY3UC,Kanye West,"['Theophilus London', 'Allan Kingdom', 'Paul McCartney']",6PMuXABPVPf11EgTxrjroO,All Day,https://i.scdn.co/image/ab67616d0000b2734f96137ee493d57977218c2f,2015-03-02,61,310,2016
327,This Is How I Disappear,0rUNZQuYQvOz6A6zwyT6tM,My Chemical Romance,,0FZK97MXMm5mUQ8mtudjuK,The Black Parade,https://i.scdn.co/image/ab67616d0000b27317f77fab7e8f18d5f9fee4a1,2006-10-23,62,239,2016
328,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,Lil Wayne,"['Wiz Khalifa', 'Imagine Dragons', 'X Ambassadors', 'Logic', 'Ty Dolla $ign']",704GHNtZhEe9TBgleCNNGv,Sucker for Pain (with Logic & Ty Dolla $ign feat. X Ambassadors),https://i.scdn.co/image/ab67616d0000b2737d8dfcfd507069d7f2062caf,2016-06-24,78,243,2016
329,Ni**as In Paris,2Zb7wnGUnNPCas2E0wWSQ5,JAY-Z,['Kanye West'],1YwzJz7CrV9fd9Qeb6oo1d,Watch The Throne (Deluxe),https://i.scdn.co/image/ab67616d0000b27370cf055d00ab1ec0290d3d5a,2011-08-08,36,219,2016
330,Drive,7nnWIPM5hwE3DaUBkvOIpy,Incubus,,2i6nd4FV6y7K9fln6eelmR,Make Yourself,https://i.scdn.co/image/ab67616d0000b27374fad40214d982351347e46e,1999-10-26,75,232,2016
331,Gold Digger,1PS1QMdUqOal0ai3Gt7sDQ,Kanye West,['Jamie Foxx'],5ll74bqtkcXlKE7wwkMq4g,Late Registration,https://i.scdn.co/image/ab67616d0000b273428d2255141c2119409a31b2,2005-09-30,78,207,2016
332,Low Life (feat. The Weeknd),7EiZI6JVHllARrX9PUvAdX,Future,['The Weeknd'],3jJKDKdlwRS584zUlHV2Ly,EVOL,https://i.scdn.co/image/ab67616d0000b273626745b3aa04899001a924ad,2016-04-13,75,313,2016
333,PLAYING WITH FIRE,5ANbXf5qR48a4jfFnSq80w,BLACKPINK,,1Ovk2wzDGAGYVeHdPj8Eoe,SQUARE TWO,https://i.scdn.co/image/11ead4436422fc871500590cd7f33c52fc46cc00,2016-11-01,0,197,2016
334,Trouble Maker,588FDdsa21w6tE6G1N0aSn,Trouble Maker,,6QtfXV9SqEkbBNvQi41fra,Trouble Maker,https://i.scdn.co/image/ab67616d0000b273902faf9d62ff8d629d41fad0,2011-01-01,0,219,2016
335,The Pretender,7x8dCjCr0x6x2lXKujYD34,Foo Fighters,,3ilXDEG0xiajK8AbqboeJz,"Echoes, Silence, Patience & Grace",https://i.scdn.co/image/ab67616d0000b27383e260c313dc1ff1f17909cf,2007-09-25,77,269,2016
336,Cold Hard Love,33Ls5EgM1WFzomY1gbMsqU,Tory Lanez,,5tBOCi2TekXZ1IbrmlBZO4,I Told You,https://i.scdn.co/image/ab67616d0000b2739f7ce2227875fd3d645fb5d6,2016-08-19,45,334,2016
337,Starving,4Ce37cRWvM1vIGGynKcs22,Hailee Steinfeld,"['Grey', 'Zedd']",18pR217SWwBjODSRWFBw0I,Starving,https://i.scdn.co/image/ab67616d0000b2730506a838892be6229dca857b,2016-07-22,78,181,2016
338,Maps,2FtGF9wKcbAXsXlB2WTmxM,Maroon 5,,7cVkMpmcdlEo67aMmffyoU,V (Deluxe),https://i.scdn.co/image/ab67616d0000b273df8c14c6ac24390cffd9fea4,2014-09-02,52,189,2016
339,Lift Me Up,0x7oCog91UWqiYJQEee3uK,OneRepublic,,30Ni9qg2MBeeZXybsMOQ7m,Oh My My,https://i.scdn.co/image/ab67616d0000b273eedabed826eeb6506a4c700d,2016-12-02,52,226,2016
340,"TKO (feat. J. Cole, A$AP Rocky & Pusha T) - Black Friday Remix",7AzunAhx3JfoHxYS5N6KVx,Justin Timberlake,"['J. Cole', 'A$AP Rocky', 'Pusha T']",46GFWEybCT9t4ey4s9sfHt,"TKO (feat. J. Cole, A$AP Rocky & Pusha T) [Black Friday Remix]",https://i.scdn.co/image/ab67616d0000b27370e8eeda0c67ef6eec2e9df5,2013-12-11,46,272,2016
341,Hate,0sYbRzhGQC0NRTVvwe8n3H,4Minute,,5vRc2fDkzXX2QzAjDdvZXT,Act. 7,https://i.scdn.co/image/ab67616d0000b273ef78c553bf66b6eafe35cea1,2016-02-01,0,214,2016
342,Twin Skeleton's (Hotel In NYC),2WWP0IPX9xFjAMraNHX390,Fall Out Boy,,022DrG7Wp2PSCwzuD0bSzT,American Beauty/American Psycho,https://i.scdn.co/image/ab67616d0000b2733cf1c1dbcfa3f1ab7282719b,2015-01-20,57,220,2016
343,Snow (Hey Oh),6fgbQt13JlpN59PytgTMsA,Red Hot Chili Peppers,,45AEwWiI7JPZolwc2Xwaoc,Snow (Hey Oh),https://i.scdn.co/image/ab67616d0000b2737056328c4d7eee31b3677e98,2006-12-19,64,334,2016
344,Uprising,4VqPOruhp5EdPBeR92t6lQ,Muse,,0eFHYz8NmK75zSplL5qlfM,The Resistance,https://i.scdn.co/image/ab67616d0000b273b6d4566db0d12894a1a3b7a2,2009-09-10,76,304,2016
345,How I Feel,07Qonra5xGHyjndj0gtOHy,Roy Woods,,2uh03RWTrpLJzfrrqeEIZs,Waking at Dawn,https://i.scdn.co/image/ab67616d0000b273077c02894824ba2bf5eac83d,2016-07-01,50,223,2016
346,No Shopping,4jmKT5RAagCQ5Rk0evYLxH,French Montana,['Drake'],0XuzEHxbWQO3M6myZ4Ilmh,No Shopping,https://i.scdn.co/image/ab67616d0000b273d946cdd389938b4baa0d8500,2016-07-16,43,227,2016
347,In Da Club,4RY96Asd9IefaL3X4LOLZ8,50 Cent,,4ycNE7y1rp5215g1kkqk1P,Get Rich Or Die Tryin',https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf,2003-02-06,72,193,2016
348,Mercy,2qkmPUG7ARsRwhVICQVwQS,Muse,,2wart5Qjnvx1fd7LPdQxgJ,Drones,https://i.scdn.co/image/ab67616d0000b273808846f0223d97d5963c420d,2015-06-04,59,231,2016
349,Panda,275a9yzwGB6ncAW4SxY7q3,Desiigner,,1k3BLTc4VZ7beRBXL1SPN6,Panda,https://i.scdn.co/image/ab67616d0000b273584ad36d1712bc9d51e797ff,2016-02-26,69,247,2016
350,Stay Down,2g2cBOrUa5n9ee1RtOISVT,Big Sean,,1j2x7FJXTgUT0X5hZ8TDXE,Dark Sky Paradise,https://i.scdn.co/image/ab67616d0000b27350192d5f728fea13fb3af203,2015-02-24,41,250,2016
351,No Diggity,279wff1L8W1ibFEXPSkdtt,Chet Faker,,3kg9Jbd43cQ0cfozNfFjxN,Thinking in Textures,https://i.scdn.co/image/ab67616d0000b273ab81ee12ec1059c6d3ba852c,2012-05-22,29,221,2016
352,Irresistible,3znPiywA0q1VK2jgAZFDoI,Fall Out Boy,,022DrG7Wp2PSCwzuD0bSzT,American Beauty/American Psycho,https://i.scdn.co/image/ab67616d0000b2733cf1c1dbcfa3f1ab7282719b,2015-01-20,64,206,2016
353,In Your Pocket,6Nynqgge2ysTrtdccrLkjN,Maroon 5,,7cVkMpmcdlEo67aMmffyoU,V (Deluxe),https://i.scdn.co/image/ab67616d0000b273df8c14c6ac24390cffd9fea4,2014-09-02,41,219,2016
354,Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,OneRepublic,,2bbhW5ifCwOYM8DMkqoYBF,Native,https://i.scdn.co/image/ab67616d0000b273e80e7dbce3996a1ae5967751,2014-01-01,74,257,2016
355,Jet Pack Blues,7d0R90VzB45UWf3Aey0X22,Fall Out Boy,,022DrG7Wp2PSCwzuD0bSzT,American Beauty/American Psycho,https://i.scdn.co/image/ab67616d0000b2733cf1c1dbcfa3f1ab7282719b,2015-01-20,58,179,2016
356,Feel Good Inc.,0d28khcov6AiegSCpG5TuT,Gorillaz,,0bUTHlWbkSQysoM3VsWldT,Demon Days,https://i.scdn.co/image/ab67616d0000b27319d85a472f328a6ed9b704cf,2005-05-23,82,222,2016
357,I Am A God,0HMCdlOPJkAGlB0MlSWIcO,Kanye West,,7D2NdGvBHIavgLhmcwhluK,Yeezus,https://i.scdn.co/image/ab67616d0000b2731dacfbc31cc873d132958af9,2013-01-01,58,231,2016
358,Still (feat.Crush),6z7gU9SBoBdqEaMi4jPKc2,Loco,,1hn2ZGbHCcJE8AsAVph2QI,Still,https://i.scdn.co/image/ab67616d0000b273ae346e8715d613cdfd5ab3e6,2016-11-04,36,276,2016
359,Not Nice,4STaHtfguDMkWbPEo6Fwcx,PARTYNEXTDOOR,,2FXGUAESmG5l9YPrzWPvHI,PARTYNEXTDOOR 3 (P3),https://i.scdn.co/image/ab67616d0000b27346b39ced8f129323f46ebb14,2016-08-12,64,202,2016
